,tg,p_5,p_10,p_15,p_20,p_25,p_30,p_40,p_50,visual_inspection,lon,lat,recordLength,recordSign,obsRecordLength,numYearsGained,yrGainedSign
0,abashiri_japan.csv,2001,2001,2001,1945,1908,1880,1880,1880,1908,144.28,44.017,107,100-125,51,56,30-60
1,aberdeen_p038_uk.csv,2012,1985,1868,1848,1845,1836,1836,1836,1864,-2.0745,57.143,151,150-180,45,106,90-120
2,"adak,alaska_040a_usa.csv",1945,1944,1942,1942,1942,1942,1942,1836,1875,-176.63,51.863,140,125-150,55,85,60-90
3,ajaccio_aspretto_france.csv,2008,2008,1875,1853,1853,1853,1853,1836,1875,8.7628,41.923,140,125-150,10,130,120-160
4,alameda_navalairstation__usa.csv,2012,2012,1939,1934,1883,1883,1848,1836,1934,-122.3,37.772,81,75-100,35,46,30-60
5,albany_001_australia.csv,1995,1994,1994,1994,1953,1953,1953,1887,1953,117.88,-35.024,62,50-75,38,24,0-30
6,alcudia_alcudia_spain.csv,1957,1899,1899,1899,1853,1853,1853,1853,1899,3.1392,39.835,116,100-125,5,111,90-120
7,ammassalik_297a_denmark.csv,1973,1971,1971,1971,1971,1971,1971,1971,1971,-37,65.6,44,0-50,5,39,30-60
8,ancona_ancona_italy.csv,1993,1955,1853,1853,1852,1852,1852,1836,1875,13.506,43.625,140,125-150,17,123,120-160
9,andenes_001.csv,1997,1993,1988,1880,1880,1878,1878,1836,1925,16.15,69.317,90,75-100,12,78,60-90
10,angra_heroismo_b_215b_portugal.csv,1946,1944,1944,1944,1876,1849,1836,1836,1876,-27.24,38.65,139,125-150,11,128,120-160
11,annapolis_navalacademy__usa.csv,1942,1931,1872,1872,1872,1872,1872,1872,1872,-76.482,38.983,143,125-150,61,82,60-90
12,apalachicola_usa.csv,2005,2005,2005,2005,2005,1851,1851,1851,1851,-84.982,29.727,164,150-180,19,145,120-160
13,arcachon_eyrac_.csv,1958,1957,1937,1875,1875,1853,1853,1836,1875,-1.1636,44.665,140,125-150,12,128,120-160
14,"arena_cove,_ca_573a_usa.csv",2012,1983,1983,1983,1983,1883,1883,1836,1935,-123.71,38.913,80,75-100,18,62,60-90
15,"astoria,or_572a_usa.csv",1956,1948,1948,1948,1948,1948,1836,1836,1948,-123.77,46.208,67,50-75,86,-19,(-30)-(-15)
16,atlantic_city_264a_usa.csv,1942,1872,1872,1872,1872,1872,1845,1836,1872,-74.418,39.355,143,125-150,94,49,30-60
17,auckland_070a_new_zealand.csv,1953,1953,1949,1948,1948,1948,1948,1948,1948,174.77,-36.85,67,50-75,5,62,60-90
18,ayukawa_japan.csv,2011,1945,1945,1945,1945,1944,1889,1836,1944,141.5,38.3,71,50-75,45,26,0-30
19,bakar_bakar_I_croatia.csv,1993,1988,1874,1853,1853,1853,1853,1836,1875,14.533,45.3,140,125-150,40,100,90-120
20,baltimore_usa.csv,1950,1950,1950,1950,1950,1872,1872,1872,1872,-76.578,39.267,143,125-150,65,78,60-90
21,bangor_p662_uk.csv,1981,1981,1868,1868,1836,1836,1836,1836,1910,-5.6695,54.665,105,100-125,15,90,60-90
22,barcelona_barcelona_spain.csv,2007,2007,1899,1853,1853,1853,1836,1836,1872,2.163,41.342,143,125-150,22,121,120-160
23,barmouth_p923_uk.csv,1985,1879,1868,1868,1868,1836,1836,1836,1868,-4.0452,52.719,147,125-150,16,131,120-160
24,barseback_001_sweden.csv,2008,1879,1879,1866,1866,1836,1836,1836,1880,12.903,55.756,135,125-150,22,113,90-120
25,base_prat_b_730b_chile.csv,2001,2000,1981,1952,1952,1952,1952,1952,discard ,-59.633,-62.483,,,19,,nan
26,bayonne_boucau_.csv,1957,1957,1957,1875,1853,1853,1853,1836,1875,-1.5148,43.527,140,125-150,36,104,90-120
27,bilbao_bilbao_spain.csv,1958,1909,1875,1875,1853,1853,1853,1836,1875,-3.05,43.357,140,125-150,22,118,90-120
28,bluff_072a_new_zealand.csv,2014,1985,1985,1985,1947,1947,1947,1947,1947,168.35,-46.6,68,50-75,17,51,30-60
29,bonanza_bonanza_spain.csv,1955,1878,1877,1854,1853,1853,1836,1836,1853,-6.34,36.8,162,150-180,22,140,120-160
30,"boston,ma_741a_usa.csv",1944,1930,1872,1872,1872,1872,1872,1836,1872,-71.052,42.355,143,125-150,90,53,30-60
31,boulogne_sur_mer_.csv,1973,1875,1867,1836,1836,1836,1836,1836,1865,1.5777,50.727,150,125-150,23,127,120-160
32,bournemouth_p988_uk.csv,1987,1921,1921,1867,1836,1836,1836,1836,1867,-1.8749,50.714,148,125-150,17,131,120-160
33,brest_.csv,1982,1875,1875,1853,1853,1853,1836,1836,1875,-4.5,48.383,140,125-150,150,-10,(-15)-(0)
